City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Avera,US,33.194,-82.5271,79.56,74,53,8.3,broken clouds
331,Medicine Hat,CA,50.0501,-110.6683,69.85,54,40,3.44,scattered clouds
332,Yelnya,RU,54.5786,33.1837,58.6,95,0,2.71,clear sky
333,Pochutla,MX,15.7432,-96.4661,76.82,90,94,1.86,overcast clouds
334,Bhuban,IN,20.8833,85.8333,90.1,51,100,6.06,overcast clouds
335,Bud,US,39.447,-86.1758,71.62,93,100,4.54,overcast clouds
336,Mogadishu,SO,2.0371,45.3438,78.84,81,96,16.84,overcast clouds
337,Rio Gallegos,AR,-51.6226,-69.2181,46.45,61,0,12.66,clear sky
338,Degtyarsk,RU,56.704,60.0879,52.12,95,100,9.57,overcast clouds
339,Nanortalik,GL,60.1432,-45.2371,42.31,85,100,5.57,overcast clouds
340,Laguna,US,38.421,-121.4238,95.45,46,0,13.8,clear sky
341,Turayf,SA,31.6725,38.6637,71.85,28,0,3.44,clear sky
342,Namibe,AO,-15.1961,12.1522,68.99,53,2,9.73,clear sky
